,,单词,翻译,出现次数
,245,mother,n.母亲，妈妈;女修道院院长;大娘;vt.像母亲般地照顾;养育;溺爱;,65
1,246,paragraph,n.段落;分段符号;vt.将…分段;写短文报导;,64
,247,real,adj.真的;真实的，现实的;事实上的;真诚的;adv.真正，实在;确实地;n.实在，现实;实数;,64
,248,car,n.汽车;车厢;轿车;,64
,249,longer,adj.比较久的;（距离，长度）长的( long的比较级 );长时间的;（因忙或不愉快等）似乎比实际时间长的;长音的;,64
,250,system,n.体系，系统;制度;身体;方法;,64
,251,try,vt.& vi.试图，努力;实验;审判;考验;n.尝试，实验;[橄]触球，（因触球获得的）向球门踢球的权利;,64
,252,living,adj.活（着）的;现存的;在使用中的;逼真的;n.生计;生活方式;生存之道;v.活( live的现在分词);居住;以…为生;（按照规矩）管理生活;,63
,253,possible,adj.可能的;可接受的;合理的，可以允许的;不坏的;n.可能性，潜在性;可能的人物，可能有的事;最高分;,63
,254,recent,adj.最近的;新近的;近代的;[地]全新世的;,62
,255,china,n.中国;[电影]中国1971;[地名] [墨西哥] 奇纳;[地名] [俄罗斯] 奇纳河;[地名] [美国] 柴纳;,62
,256,problem,n.问题;疑难问题;习题;引起麻烦的人;adj.成问题的;难处理的;关于社会问题的;,62
,257,consumers,n.消费者，顾客( consumer的名词复数 );,62
,258,check,vt.检查，核对;制止，抑制;在…上打勾;vi.核实，查核;中止;打勾;[象棋]将一军;n.<美>支票;制止，抑制;检验，核对;,62
1,259,men,n.人( man的名词复数 );人类;男人;男子汉;,62
,260,merit,n.价值，优点;[宗教]（行善得到的）功德;功绩，功勋;荣誉;vt.值得，应获得;[宗教]（因行善而）应得（善报）;vi.值得，应得;[宗教]积德;,62
,261,class,n.班;等级;阶级;种类;vt.把…归入某等级，把…看作（或分类、归类）;把…编入某一班级;adj.很好的，优秀的，出色的;vi.属于…类（或等级），被列为某类（或某级）;,62
1,262,researchers,n.研究员，调查者( researcher的名词复数 );,61
1,263,put,vt.放;表达;给予（重视、信任、价值等）;使处于（某种状态）;vt.& vi.使感觉到;使受到…的影响;vi.说;猛推;将…送往;使与…连接;n.[方]笨蛋，怪人;对策;adj.固定的;不动的;,61
1,264,several,adj.几个的;专有的;各自的;分别的;pron.几个，数个;一些;,61
,265,cost,n.价钱，代价;花费，费用;牺牲;[用复数][法律]诉讼费;vi.价钱为，花费;估计成本;vt.付出代价;估价;使丧失;使付出努力;,61
,266,getting,n.获得（物），利益;v.得到( get的现在分词 );抓住;说服;受到（惩罚等）;,61
1,267,campus,n.校园;校区;,60
,268,workers,n.员工( worker的名词复数 );工作的人;工蜂;努力工作的人;,60
,269,market,n.交易;市集;需求;交易情况，行情;vt.在市场上出售某物;推销;vi.<美>去市场买东西;,60
,270,development,n.发展，进化;被发展的状态;新生事物，新产品;开发区;,60
,271,families,n.家( family的名词复数 );家族;（大）家庭（包括父母子女及近亲）;语族;,60
,272,week,n.一星期，周;工作周（一个星期中的工作时间）;,60
1,273,states," 
州

修改翻译结果
来自有道词典结果
states
n. 州，国家",60
1,274,financial,adj.财政的;财务的;金融的;有钱的;,60
1,275,ten,num.十，十个;第十;n.十个人;十点钟;十岁;十元纸币;,59
1,276,form,n.形状，形式;外形;方式;表格;vt.形成;构成;组织;塑造;vi.形成，产生;排队，整队;,59
,277,control,vt.控制;管理;限制;支配;n.支配权;操纵者;（对国家、地区、机构等的）管理权;（键盘上的）控制键;,59
,278,past,adj.过去的，以前的;结束的;前任的;n.过去，过往;往事;[语]过去时;prep.超过，超出;远于;越过;adv.经过，超过;,59
1,279,yet,adv.但是;还;已经;又，再;conj.然而，但是;,59
1,280,fill,vt.& vi.（使）充满，（使）装满;vt.满足;配药;（按订单）供应;使充满（感情）;n.填满…的量;充分;装填物;路堤;,59
,281,local,adj.地方的;当地的，本地的;局部的;褊狭的;n.慢车;本地居民（律师、教士、医生）;住处附近的当地酒店;本地新闻;,59
,282,conversations,none,59
,283,data,n.资料，材料;datum的复数;[计算机]数据，资料;从科学实验中提取的价值;,59
,284,never,adv.从不，从来没有;一点也不，决不;<口>不会…吧，没有;不曾;,59
,285,companies,n.公司( company的名词复数 );[军事]连;连队;客人;,58
1,286,among,prep.（表示牵涉）经过;（表示位置）处在…中;（表示范围）在…之内;（表示所属）为…所特有;,58
1,287,economy,n.节约;经济;理财;秩序;,58
,288,bad,adj.坏的，不好的;严重的;不舒服的;低劣的，有害的;n.坏人，坏事;adv.不好地，非常地;,58
,289,next,adj.紧接在后的;次于的;贴近的;紧邻的;adv.接下去;然后;居后地;依次的;n.下一位;下一个;prep.靠近;居于…之后;在…的隔壁;,58
1,290,fact,n.事实，实情;实际;真相，证据;犯罪行为;,58
,291,love,vt.& vi.爱，热爱;爱戴;喜欢;赞美，称赞;vt.喜爱;喜好;喜欢;爱慕;n.爱情，爱意;疼爱;热爱;爱人，所爱之物;,58
1,292,face,n.面容;表面;脸;方面;vt.& vi.面对;面向…;正视;承认;vt.（感到不能）对付;（明知不好办而）交谈;必须对付（某情况）;面临…;,58
,293,taking,adj.吸引人的;迷人的;唾手可得;随手可拿;adv.引人注目地，迷人地;n.引人注目，迷人;v.拿( take的现在分词 );接受;学习;取得;,58
1,294,essay,n.散文;随笔，杂记文;尝试，企图;试验;vt.尝试;试验;,58
,295,please,int.请;vt.& vi.使高兴;使满意;讨人喜欢;讨好;,57
1,296,culture,n.文化;[生物学]（微生物等的）培养;修养;养殖;vt.培植，培养;,57
,297,kind,n.〈古〉方式，方法;本质，天性;同类;某类;adj.仁慈的，体贴的;友善的，好心的;温和;宽宏大量的;,57
,298,bring,vt.带来，引来;促使，引起;提供;导致;,57
,299,fast,adj.快的;走得快;感光快的;紧的;adv.（比准确的时间或宣布的时间）快;迅速地;紧紧地;彻底地;vi.禁食，（尤指）斋戒;n.禁食期，斋戒期;断食，节食;,57
,300,kids,none,57
1,301,didn,"didn't 是对任何人称过去时的否定 比如：He didn't like it .就是说他以前不喜欢它。You didn't dofinish your homewok .你之前没有完成你的作业。
doesn't是对第三人称现在时的否定，也可以是对喜好，习惯的否定 比如：She doesn‘t like walk
可以是说她现在不喜欢不行 也可是说她一直都不喜欢步行。",56
,302,passages,"n. 走廊；通过；经过；推移，短文
",56
,303,studies,n.研究;书房( study的名词复数 );研究论文;v.学习，研究( study的第三人称单数 );想出;详细地检查;背诵（台词等）;,56
,304,start,n.开始;动身;开动;起点;vt.& vi.出发，启程;vt.起动;提出（问题）;开办;使开始;vi.起始;突然出现;突然跳起;突然涌出;,56
1,305,quite,adv.相当，很;非常;确实如此;,56
,306,means,n.方法（ mean的名词复数）;手段;收入;财富;v.意味着（ mean的第三人称单数）;引起;打算或注定要某人成为或做某事;,56
,307,difficult,adj.困难的;难做的;难解的;不易相处的;,56
,308,service,n.服务，服侍;服务业;维修服务;服役;vt.检修，维修;向…提供服务;保养;满足需要;adj.服务性的;耐用的;服现役的;,56
1,309,program,n.程序;节目，节目单;计划，安排;v.[计]给…编写程序;为…制定计划;设计安排活动;编排;,56
,310,oil,n.油;石油;油画;燃油;vt.给…加油;vi.化成油;,56
,311,team,n.队，组;团队;工作组;（野鸭等）群，同胎仔;vi.协同工作;合作;把（牛马等）联套在车上;,55
,312,office,n.办公室;办公楼;问询处;重要官职;,55
,313,provide,vt.& vi.提供，供给，供应;vt.规定;提供(+for);装备;预备;vi.抚养，赡养(+for);做准备;预约(for 或 against);,55
,314,percent,n.百分比，百分数;百分之一;adj.百分之…的，每一百中有…的;百分之…支付利息的;adv.以百分之…地，每一百中有…地;,55
1,315,ever,adv.永远;曾经，这以前;究竟，到底;可能;,55
,316,thing,n.事件，形势;东西，事物;家伙;事业;,55
,317,usually,adv.通常，经常，平常，惯常地;一直，向来;动不动，一般;素;,55
,318,pause,n.暂时的停顿;犹豫;（诗中）节奏的停顿;[乐]延长号;vi.暂停，中止;逗留，停滞;（按暂停键）暂停放音;犹豫;,55
,319,major,adj.主要的;重要的;大调的;主修的（课程）;n.主修科目;大调;陆军少校;成年的;vi.<美>主修，专攻;[美国英语][教育学]主修(in);专攻;,55
,320,support,vt.支持;帮助;支撑;维持;n.支撑;支持者;[数学]支集;支撑物;,55
1,321,british,adj.不列颠的;英国的;英国人的;英国英语的;n.（总称）英国人;英国英语;,55
,322,price,n.价格，价钱;代价;价值;赏金;vt.标价;定价;问…的价格;给…定价;,54
,323,able,adj.能够的;有能力的;有才干的;干练的;,54
,324,until,prep.到…为止;在…以前;conj.到…为止，在…以前;直到…才;,54
,325,half,adj.一半的，半个的;n.半;一半;（啤酒等饮料的）半品脱;（比赛、音乐会等的）半场;adv.一半;部份地;,54
,326,power,n.[机]动力，功率;力量;政权，权力;强国，大国;vt.运转;用发动机发动;使…有力量;vi.靠动力行进;快速行进;adj.权力的;机械能的，电动的;用电力（或动力）发动的;,54
,327,sense,n.感觉，官能;意识，观念;理性;识别力;vt.感到;理解，领会;检测出;,54
,328,strong,adj.强的;坚强的;强烈的;强壮的;adv.强劲地;猛烈地;大大地;坚强地;,54
,329,set,vt.放置，安置;使处于某种状况;设置;摆放餐具;vi.落山;出发;凝结;n.一套，一副;集合;布景;电视机;adj.固定的;位于…的;顽固的;安排好的;,54
,330,using,none,54
,331,translation,n.翻译;译本;转变;转化;,54
,332,later,adv.较晚地;以后，过后;后来;随后;adj.后来的;以后的;接近末期的;晚年的;,54
,333,finally,adv.最后，终于;总算;末后;结果;,53
,334,having,n.所有，持有;v.有( have的现在分词 );（亲属关系中）接受;拿;买到;,53
,335,done,adj.已完成的;煮熟的;合乎礼仪的;合乎规矩的;int.（表示接受建议）;v.做( do的过去分词);干;,53
,336,country,n.国家;国民;乡下;地区;,53
,337,far,adv.久远地;（问到或谈及距离时说）有多远;到很远距离;到很大程度;adj.远的;遥远的;（某方向的）最远的;远端的;n.远方;,53
,338,environment,n.环境，外界;周围，围绕;工作平台;（运行）环境;,53
,339,sales,adj.销售的，推销的;n.销售（额）;卖( sale的名词复数 );销售额;销路;贱卖;,53
,340,shopping,n.购物，买东西;工作室，制作室;车间;家庭作坊;vi.选购：为寻找商品或便宜货而逛商店;到处寻找：为得到某物而寻找它;vt.逛（某一个商店）或（在某一个商店）买东西;,53
,341,someone,pron.某人，有人;n.某个人;,53
,342,growing,adj.生长的;成长中的;增长的;初期的困难（或问题等）;v.种植( grow的现在分词 );扩大;扩展;增加;,53
,343,asked,v.问( ask的过去式和过去分词 );询问;要求;请求;,53
,344,ways,n.方法;（做某事现有的）方法和资源;你不可能做到两全其美;（所说的话）不止一个意思;路( way的名词复数 );方法;方向;某方面;,53
,345,average,adj.平常的;平均的;典型的;（价值、比率等的）平均数的;n.平均水平;（速度等的）平均率;平均估价;vt.[数学] 计算…的平均值;调和，拉平;分摊;按比例（或平均）分配（利润等）;vi.平均：作为或达到一个中间值;维持（有利的）平均价格;,53
,346,universities,none,53
,347,customers,n.[商业]客户( customer的名词复数 );主顾;[口]家伙;[计算机]用户;,52
,348,ask,vt.& vi.问，询问;需要;要求，请求;邀请;vt.邀请;请求允许;要价;询问;vi.请，邀请;询问;要求;,52
,349,poor,adj.贫穷的，贫乏的;令人怜悯的，可怜的;匮乏的;低劣的;n.the poor 贫困者，穷人;,52
,350,full,adj.满的，装满的;完全的，完整的;丰富的;详尽的;adv.极其，十分;充分地，完全地;整整;直接地;n.充分，完全;全部;完整;极盛时;v.把衣服缝得宽大;把裙子缝出皱褶;[印]蒸洗，漂洗;,52
,351,personal,adj.个人的，私人的;身体的;亲自的;人身攻击的;n.（报刊上的）人事栏，分类人事广告版;人称代名词;关于个人的简讯;,52
,352,needs,adv.（现与must前后连用）必须，一定，务必;v.需要，必须( need的第三人称单数 );（表示应该或不得不做）有必要;,52
,353,white,adj.白色的，纯洁的;无色的，透明的;白衣的;白种人的;n.白色;白种人;空白;白色颜料;vt.（书写，印刷等）留出空白处;使变白色，刷白;漂白;,52
,354,eat,vt.& vi.吃，喝;vi.（食物）吃起来感到;咬;（人）感到苦恼（或烦恼）;侵蚀，腐蚀;vt.（如酸）腐蚀;吃完;吃得使;侵蚀成;,52
,355,known,adj.大家知道的;已知的;知名的;向某人作自我介绍;v.知道( know的过去分词 );看到过;听到过;经历过;,52
,356,list,n.清单，目录;倾斜;布边，布头;狭条;vt.列出，列入;把…编列成表;记入名单内;vi.列于表上;,51
,357,makes,v.使( make的第三人称单数 );成为;做;认为;,51
,358,benefits,none,51
,359,view,n.看法;风景;视域;[建筑学]视图;vt.看;看待;,51
,360,got,v.得到(get的过去式和过去分词);抓住;说服;受到（惩罚等）;,51
,361,days,n.天，时期;一天( day的名词复数 );白天;时期;工作日;adv.每天，在白天;,51
,362,natural,adj.自然的;物质的;天生的;不做作的;n.自然的事情;（生来的）白痴;[乐]（风琴等的）白键;,51
,363,student,n.学生，大学生;研究者，学者;中学生;<美俚>初学者;,51
,364,ago,adv.以前;过去的;之前;,50
,365,offer,vt.提供，给予;提出，提议;出价，开价;表示愿意;vi.提议;企图，想要;供奉;n.提议;出价，开价;试图;求婚;,50
,366,focus,vt.& vi.（使）集中，（使）聚集;调整（镜头，眼睛）焦点[焦距]以便看清;vt.调整（眼睛或者镜头的）焦距;集中（光束于）;聚焦，注视;集中注意力;n.焦点;影象的清晰度;（活动、注意力、兴趣等的）中心;[医]病灶，病症;,50
,367,ones,n.二进制反码;一个人，任何人，人们( one的名词复数 );（表示与别的对照）某一例[类];玩笑，笑话;,50
,368,mean,v.表示…的意思;意思是;打算;产生…结果;adj.吝啬的;刻薄的;破旧的;残忍的;n.平均数;中间;几何平均;等比中数;,50
,369,spend,vt.& vi.用钱，花钱;vt.花费;消耗;花（时间）;度过;n.（为某目的或某段时间内的）花销，花费，开销;,50
,370,point,n.点;要点;得分;标点;vt.（意思上）指向;削尖;加标点于;指路;vi.表明;指向;,50
,371,move,vt.& vi.移动，搬动;vi.搬家;行动;进展;（机器等）开动;vt.提议;使感动;摇动;变化;n.改变;迁移;,50
,372,ve,none,50
,373,enjoy,vt.享有，享受;欣赏;喜欢;使过得快活;vi.使过得快活;,50
,374,almost,adv.几乎，差不多;将近;快要;近乎;,49
,375,instead,adv.代替，顶替;反而;反倒;,49
,376,cannot,none,49
,377,changes,n.（会令人感兴趣或可喜的）变化( change的名词复数 );换车;辅币;变迁;,49
,378,common,adj.普通的;通俗的;[数学]公共的;共有的;n.[法律]（对土地、水域的）共有权;公共用地;普通;平民;,49
,379,trying,adj.令人难于忍受的;难堪的;令人厌烦的;v.试图( try的现在分词);试验，尝试;审讯;,49
1,380,green,adj.绿色的;未熟的，青春的;未成熟的;主张保护环境的;n.绿色蔬菜;绿色的衣服;植物;vi.绿化，使重视环境保护问题;,49
,381,improve,vt.提高（土地、地产）的价值;利用（机会）;改善，改良;vi.变得更好;改进，改善;,49
,382,million,n.百万;adj.百万的;无数的;,49
1,383,eating,n. &adj.吃;食物;食用的;可生食的;v.吃，喝，吃饭（ eat的现在分词 ）;（食物）吃起来感到;咬;（人）感到苦恼（或烦恼）;,49
,384,share,n.股;（参与、得到等的）份;（分享到的或贡献出的）一份;市场占有率;vt.& vi.共有;共用;均摊;vt.分配;分开;共同承担;vi.分享，分担(in);,48
,385,center,n.中心;（球队的） 中锋;中心区;中枢;adj.中央的，位于正中的;（在）中心的;vt.集中;使聚集在一点;定中心;居中;vi.居中，有中心，被置于中心;,48
,386,city,n.城市;全市居民;（由国王或女王授予特权，通常有大教堂的）特许市;（由政府授予特权的）特权市;,48
,387,called,none,48
,388,looking,adj.有…样子的，有…相貌的;v.看，瞧( look的现在分词 );注意;面向;寻找;,48
,389,let,none,48
,390,interest,n.兴趣，爱好;利害关系，利益;利息;趣味，感兴趣的事;vt.使产生兴趣;使参与，使加入;引起…的意愿;使产生关系;,48
,391,believe,v.信任;料想;笃信宗教;vt.相信;以为，认为;对…信以为真;信任;,48
,392,tv,none,48
,393,teachers,n.教师( teacher的名词复数 );师资;,48
1,394,academic,adj.学院的，大学的，学会的，（学术，文艺）协会的;学究的，学理上的，空谈的，非实用的;〈美〉文科的，文学的;柏拉图学派的;n.学者;大学教师，大学生，学会会员;纸上空论，空论;[A-]柏拉图哲学信奉者;,48
,395,order,n.命令;秩序;规则，制度;次序;vt.命令;订购;整理;vi.下订单;,48
,396,exact,adj.准确的;严密的;精密的，精确的;vt.要求;苛求;迫使;强求;,48
,397,statements,n.声明( statement的名词复数 );（思想、观点、文章主题等的）表现;（文字）陈述;结算单;,47
,398,state,n.国家;州;状况，情况;资格;vt.规定;陈述，声明;adj.国家的;国务的，公务的;正式的;,47
,399,healthy,adj.健康的;健全的;大量的;有益于健康的;,47
,400,language,n.语言，语言文字;表达能力;言语，语风，文风，文体;专门用语，术语;,47
,401,science,n.科学;技术，知识;学科;理科;,47
,402,art,"n.艺术;艺术作品;（需要技术、工艺的）行业;文艺（包括绘画、雕塑、建筑、音乐、舞蹈、戏剧、文学等）;vi.thou art 即 you are,对一人讲话时用;adj.艺术的;（为）艺术家的;艺术品的;具有艺术性的;vt.& vi.[口语]（把…）装饰得古色古香，（把…）装饰得古怪而有艺术趣味，把…装饰得有艺术价值;把…加以艺术乔装，使艺术化[仅用于 art up 短语中];",47
,403,national,adj.国家的;国有的;国民的;民族主义的;n.[常用复数]全国性比赛;某国国民;全国性报刊;（机构等的）全国总部;,46
,404,prices,none,46
,405,actually,adv.实际上;事实上;确实;竟;,46
,406,under,prep.在…下面，在表面之下;在…的假定表面或掩饰下;少于，小于;在…情况下;adv.在下面;少于;在水下;在昏迷中;adj.较低的，下面的;,46
,407,benefit,n.利益，好处;救济金，津贴;义演，义卖;恩惠，恩泽;vt.有益于，有助于;使受益;得益，受益;,46
,408,meet,vt.& vi.相遇;相识;开会;接触（某物）;vt.满足;支付;迎接;经历（常指不愉快的事）;n.运动会，体育比赛;猎狐运动（尤其英式英语）;adj.适当的;合适的;恰当的;,46
,409,TRUE,adj.真正的;真实的;忠实的;正确的;adv.真正地;确实地;正确地;正当地;n.真理，真实;正，准，精确;vt.摆正;决定（某物）的位置以使其平衡、平稳或水平;,46
,410,stay,vt.& vi.停留;停止;坚持;抑制;vi.继续处于某种状态;n.逗留;延期;倚靠;忍耐;,46
,411,physical,adj.自然（界）的;身体的;物质的;自然规律的;n.身体检查，体格检查;,46
,412,opportunities,n.机会( opportunity的名词复数 );适当的时机;条件;就业（或晋升、进步等）的良机;,46
,413,available,adj.可获得的;有空的;可购得的;能找到的;,45
,414,value,n.价值，价格;意义，涵义;重要性;（邮票的）面值;vt.评价;重视，看重;估价，给…定价;,45
,415,medical,adj.医学的;医药的;医疗的;内科的;n.体格检查;,45
,416,tend,vt.照料，照顾;护理;照管，管理;vi.倾向（于），趋向（于）;伺侯，招待;关心;注意;,45
,417,success,n.成功，成就;好成绩，好结果;成功的人（或物）;,45
,418,tell,vt.告诉，说;辨别;吩咐;讲述;vt.& vi.分辨，辨别;告诉，吩咐;泄漏;保证;vi.泄密，告发;（颜色、声音等）显示;识别;n.[考古学]（古代村落遗址堆积而成的）台形土墩;[方言]讲的话;谈话;传闻;,45
,419,listen,vi.倾听;留心听;听信;（让对方注意）听着;n.听，倾听;,45
,420,international,adj.国际的;两国（或以上）国家的;超越国界的;国际关系的;n.国际组织;国际体育比赛;外国居留者;国际股票;,45
,421,seen,v.看见( see的过去分词 );观看;领会;考虑;,45
,422,select,vt.选择;挑选;选拔;adj.精选的;挑选出来的;苛择的;〈口〉爱挑三拣四的，挑剔的;,44
,423,cars,none,44
,424,increased,adj.增加的，增强的;v.增加，增大，增多( increase的过去式和过去分词 );增强，增进;[缝纫]放（针）;增强;,44
,425,increase,vt.& vi.增加，增大，增多;vt.增强，增进;[缝纫]放（针）;vi.增强;增进;增殖，繁殖;[缝纫]放针;,44
,426,although,conj.尽管;虽然;但是;然而;,44
,427,turn,v.使转动;旋转;转身;翻转;n.转动;转向;转弯处;转变;,44
,428,reason,n.理由;原因;理性;理智;vt.& vi.推理，思考;争辩;辩论;向…解释;,44
,429,talk,v.说话;讨论;讲，说;说闲话;n.交谈;讨论;报告;空话;,44
,430,role,n.作用;地位;角色;,44
,431,costs,n.讼费，诉讼费用;不惜任何代价;价钱( cost的名词复数 );花费;牺牲;[用复数][法律]诉讼费（尤指判处败方偿付胜方的诉讼费用）;v.价钱为，花费( cost的第三人称单数 );估计成本;付出（代价）;估价;,44
,432,space,n.空间，太空;空白，间隔;空隙;片刻;vt.把…分隔开，留间隔于…之间;vi.以一定间隔排列;,43
,433,scientists,n.科学家( scientist的名词复数 );,43
,434,lack,vt.缺乏，缺少;需要的东西;n.缺乏，不足，没有;缺少的东西;,43
,435,training,n.训练;培养;（枪炮，摄影机等的）瞄准;整枝法;v.训练，培养( train的现在分词);教育;瞄准;整枝;,43
,436,especially,adv.尤其地;主要地，格外地;显著地;异常地;,43
,437,probably,adv.大概;或许;很可能;备不住;,43
,438,again,adv.再一次;再说;此外;不过;,43
,439,already,adv.早已，已经;先前;,43
1,440,courses,n.课程，路线;前进( course的名词复数 );进程;课程;方针;,43
,441,music,n.音乐;乐曲;乐谱;乐队;,43
,442,cooking,none,43
,443,activities,none,42
,444,effective,adj.有效的;起作用的;实际的，实在的;给人深刻印象;n.[军]现役兵额，有生力量，精兵;,42
,445,main,adj.主要的，最重要的;全力的;n.最主要的部分，重点;主要管道;体力;[航海]公海;,42
1,446,rate,n.速度;比率;等级;（利息等的）费率;vt.估价;值得;责骂;定级;vt.& vi.认为，把…算作;vi.被评价;被认为;被列入;申斥;,42
,447,easy,adj.容易的;舒适的;宽裕的;从容的;adv.容易地;不费力地;悠闲地;缓慢地;vi.停止划桨（常用作命令）;vt.向（水手或划手）发出停划命令;,42
,448,save,vt.节省;保存;储蓄;解救;vi.节省;挽救;救球;prep.&conj.除…之外;n.救援，救援;,42
,449,leave,vt.离开;遗弃;忘了带;交托;vt.& vi.离去;出发;舍弃;n.准假;假期;辞别;许可;,42
,450,top,n.顶，顶部;（箱子）盖，（书页等的）上栏;首席;陀螺;adj.最高的;顶上的;头等的;最大的;vt.形成顶部;达到…的顶端;处于…的最前头;领导;vi.总结;超越;高耸;结束;,42
,451,blank,adj.空白的;空的，无信息的，未填写的;茫然的;空虚的;n.空的空间或地点;填空处，空白表格;坯;无用的东西;vt.消失;挡住通路;[体育运动] 阻止（对手）得分;打孔，盖印;vi.走神;逐渐消失;,41
,452,teams,none,41
,453,lead,vt.领导;引导;指挥;vi.领导;导致;用水砣测深;n.铅;领导;榜样;枪弹;adj.领头的;最重要的;领先的;,41
,454,late,adj.晚的，迟到的;时间不早的;已故的;原来的，之前的;临近终了的;adv.晚，迟;后期地;最近地;,41
,455,free,adj.自由的;免费的;免税的;空闲的;adv.免费地;自由地，无拘束地;一帆风顺地;vt.免除;释放;使自由;解救;,41
,456,ability,n.能力，资格;能耐，才能;,41
,457,popular,adj.流行的，大众化的;民众的，大众的，公众的;通俗的，普通的，平易的;〈美俚〉自以为了不得的，骄傲的;,41
1,458,cities,none,41
,459,population,n.人口;全体居民;特定[生物]种群;[物]布居;,41
,460,process,n.过程;工序;做事方法;工艺流程;vt.加工;处理;审阅;审核;vi.列队行进;adj.经过特殊加工（或处理）的;,41
,461,current,adj.现在的;最近的;流行的;流传的;n.趋势;电流;水流;涌流;,41
,462,lives,n.生命(life的复数);生物，活物;生活( life的名词复数 );生命;一生;生活方式;v.活( live的第三人称单数 );居住;以…为生;（按照规矩）管理生活;,41
,463,avoid,vt.避开，避免，预防;[法]使无效，撤销，废止;,41
,464,colored,adj.<美>有色的，彩色的;,41
,465,cut,vt.& vi.将（某物）切开（或分割）;vt.削减;剪切;切成;删剪;vi.电影;（为决定谁先出牌等）切牌;可被切割;可用于切割;n.切口;削减;剪裁;切片;,41
,466,hand,n.手;协助，帮助;（工具等的）把，柄;掌管;vt.传递，交给;搀扶;支持;,41
,467,growth,n.生长;增长;一茬植株;肿块，肿瘤;,41
,468,professor,n.教授;（大学的）讲师，教员;自称者，宣称者;,41
,469,play,n.比赛;游戏;戏剧;赌博;vt.& vi.玩;演奏;演出;参加比赛;vt.扮演;担任，充当…的角色;演出;装扮;vi.玩耍，游戏;[游戏] 参加游戏;赌博;闹着玩;,40
,470,products,n.乘积( product的名词复数 );（自然、化学或工业过程的）产物;产量;制品;,40
,471,knowledge,n.了解，理解;知识（表示多方面的知识时有复数knowledges这一用法）;学科;见闻;,40
,472,sometimes,adv.有时，间或;时而;,40
,473,parking,n.（车辆等的）停放;停车场所，停车位;v.停车(park的ing形式);,40
,474,father,n.父亲;祖先;（尤指天主教和东正教的）神父;天父;vt.成为父亲;创立（新思想）;创造;发明（新方法）;,40
,475,speaker,n.说话者;演讲者，发言人;讲某种语言的人;扬声器;,40
1,476,century,n.百年，一世纪;百个;（板球）一百分;<美>百元钞票;,39
1,477,identify,vt.识别，认出;确定;使参与;把…看成一样;vi.确定;认同;,39
,478,places,none,39
,479,water,n.水;雨水;海水;海域;v.给…浇水;供以水;加水稀释;流泪;,39
,480,here,adv.在这里;这时;在这一点上;（给某人东西或指出某物时说）;n.这里;int.喂;嗨;,39
,481,radio,n.无线电;收音机;无线电广播台;无线电收发报机;vt.& vi.用无线电发送讯息;作无线电广播;用X射线拍照;,39
,482,isn,none,39
,483,sure,adj.确信的，确实的;有把握的;无疑的;一定的;adv.当然;确实地;无疑地;,39
1,484,spent,adj.用过的;不再有用的;已废的;失效的;v.用钱，花钱( spend的过去式和过去分词 );花费;消耗;花（时间）;,39
,485,mind,n.心，精神，心力，知，智力，智慧;心胸，头脑，人;愿望，目的，意向，意志，决心，见解，意见;记忆，记性，记忆力，回想;vi.介意;注意;vt.专心于;介意;愿意做;照顾;,39
,486,cold,adj.寒冷的;冷淡的，无情的;失去知觉的;[艺]有冷感的，冷色的;n.寒冷;感冒，伤风;adv.完全地;,39
,487,low,adj.低的，矮小的;楼下的，低洼的;沮丧的;下贱的;adv.低声地;谦卑地;底下地;n.低点;低水平;牛的叫声;vi.（牛）哞哞叫;,39
,488,reduce,vt.减少;缩小;使还原;使变弱;vi.减少;节食;蒸发;（液体）浓缩变稠;,39
,489,spending,n.开销，花费;v.用钱，花钱( spend的现在分词 );花费;消耗;花（时间）;,38
,490,together,adv.同时;在一起;一致地;不间断地;adj.稳定可靠的;做事有效率的;,38
,491,followed,v.跟随，接着（ follow的过去式和过去分词 ）;继承;（按时间、顺序等）接着;从事;,38
,492,taken,v.拿( take的过去分词);接受;取得;,38
,493,conditions,n.（居住、工作或做事情的）环境;（影响某事发生的）物质环境;<保险>承保险别;条件( condition的名词复数 );状况;健康状况;环境;,38
,494,police,n.警察部门;警方;警察;治安;vt.（警察、军队等）巡查;维护治安;（委员会等）监督;管制;adj.警察的;有关警察的;,38
,495,friend,n.朋友，友人;资助者;助手;近亲;v.<诗>与…为友;,38
,496,went,v.进行( go的过去式 );去;进展;,38
,497,visit,vt.& vi.访问;探望;参观;游览;vi.作客;n.访问，参观;逗留;vt.拜访，参观;,38
,498,relationships,n.（事物之间的）关系( relationship的名词复数 );（人、团体、国家之间的）关系;情爱关系;血缘关系;,38
,499,traditional,adj.传统的;口传的;惯例的;因袭的;,38
